"","mean","lower","upper"
"2018-10-11",48.8167862744424,48.4934374375208,49.1631671689379
"2018-10-12",48.7929261661118,48.3235718765922,49.2836872796687
"2018-10-13",48.7839669131292,48.1950798773269,49.4140995727943
"2018-10-14",48.7812335337491,48.0775358950178,49.5497916074539
"2018-10-15",48.7839493232133,47.9873420675243,49.697552427439
"2018-10-16",48.7951560272562,47.8952879552862,49.8511953255348
"2018-10-17",48.8057341158154,47.796829804382,49.9678023955688
"2018-10-18",48.8171552367833,47.7166669873881,50.1352496066871
"2018-10-19",48.8275252593031,47.6123651121695,50.2896838312845
"2018-10-20",48.839487972318,47.5204114868762,50.4102311357199
"2018-10-21",48.8502975720539,47.4457368104293,50.5302291533056
"2018-10-22",48.8586823312539,47.3485933104322,50.6774431869204
"2018-10-23",48.8742893453253,47.2679847539038,50.8246262896922
"2018-10-24",48.8909439058522,47.209964066244,50.9958492564865
"2018-10-25",48.9180087058739,47.1314394895823,51.1881954326119
"2018-10-26",48.9651854005371,47.0545227485418,51.3896783306823
"2018-10-27",49.0325207856082,47.0073784595002,51.6751061522927
"2018-10-28",49.1018666995704,46.9439593067931,51.9057936939607
"2018-10-29",49.1707754666797,46.8939598150786,52.1637134667297
"2018-10-30",49.2404152600571,46.839895404191,52.4342591914115
"2018-10-31",49.3082690354676,46.7610228410661,52.7306861694558
"2018-11-01",49.3745970772494,46.6722752211233,53.0219456692962
"2018-11-02",49.4328028597001,46.6054305416479,53.2424777850709
"2018-11-03",49.4883900606386,46.5079540586491,53.5548314463788
"2018-11-04",49.5549813649977,46.4391207177894,53.8603460078814
"2018-11-05",49.62919328415,46.3952914618828,54.1289624933864
"2018-11-06",49.7062748761017,46.3678042081438,54.4331368699361
"2018-11-07",49.7753046570006,46.2736815561343,54.6920123064177
"2018-11-08",49.8431360034517,46.1935375767474,54.9978712419722
