"","mean","lower","upper"
"2016-05-09",50.3147619438228,49.4611943128215,51.1846810011358
"2016-05-10",50.2795998256273,49.0540101844541,51.5369133414345
"2016-05-11",50.2768787735204,48.7377503379367,51.8132241410709
"2016-05-12",50.3255957474696,48.5747960251702,52.1112360738997
"2016-05-13",50.4124000151282,48.4507500486734,52.4462755322157
"2016-05-14",50.4918247621328,48.3207626366328,52.7183816502916
"2016-05-15",50.5712983972417,48.2432389412272,53.0183628787144
"2016-05-16",50.6624305035881,48.1559625365466,53.2702840359235
"2016-05-17",50.765718767578,48.0959305488524,53.600551117347
"2016-05-18",50.8859712729492,48.0662742478286,53.8837653002236
"2016-05-19",51.0167317729783,48.0718139185208,54.1668885543584
"2016-05-20",51.1422974379952,48.0868111754033,54.4782346608423
"2016-05-21",51.2850883068719,48.1068463885394,54.7748978638736
"2016-05-22",51.4275244804472,48.1171155407793,55.1059112476174
"2016-05-23",51.574499400814,48.1110210926075,55.4369602198011
"2016-05-24",51.7235818211246,48.0668963039411,55.7325889161783
"2016-05-25",51.8710185654597,48.0567223367675,56.0342451065684
"2016-05-26",52.0317367578048,48.141063493994,56.3186149950827
"2016-05-27",52.181172840695,48.1936763810685,56.5677680044275
"2016-05-28",52.3296907297914,48.1776507362445,56.8242675346626
"2016-05-29",52.4712040679025,48.1905088648143,57.1129751841517
"2016-05-30",52.6157896062495,48.2190006195997,57.4570638721348
"2016-05-31",52.759505329087,48.2359882118557,57.6498329760521
"2016-06-01",52.9074251746465,48.341814239734,57.9718196743823
"2016-06-02",53.0526674582334,48.3545498190675,58.28814917162
"2016-06-03",53.1938728580514,48.4109645376794,58.6099567773896
"2016-06-04",53.3421319791092,48.4563927046611,58.9905298577573
"2016-06-05",53.4917112793403,48.49073631686,59.2475169565136
"2016-06-06",53.6413943513232,48.5479023297402,59.504729175252
