"","mean","lower","upper"
"2016-02-18",37.7481676914357,36.9041647829213,38.6035136781685
"2016-02-19",38.0603153123273,36.8527267569848,39.2553551823087
"2016-02-20",38.3890910401284,36.8932853830462,39.88309254885
"2016-02-21",38.743675243454,36.983552339524,40.5363265524277
"2016-02-22",39.1298994166943,37.1134394187199,41.140642792048
"2016-02-23",39.5539237379282,37.3161353222225,41.7914674522185
"2016-02-24",39.9930420123043,37.5079427545823,42.5032359073787
"2016-02-25",40.4129472546534,37.7098345199693,43.0523151903824
"2016-02-26",40.8204553363888,37.9508886494966,43.7327753246044
"2016-02-27",41.2368499771759,38.1849811038324,44.3627429117087
"2016-02-28",41.6509566141158,38.3807881899712,44.9414631050635
"2016-02-29",42.0796763246267,38.6171458123492,45.5898269761819
"2016-03-01",42.5280549017359,38.9397983373907,46.1540692194203
"2016-03-02",42.9900229945261,39.1775097623399,46.8409367274239
"2016-03-03",43.4527105594544,39.4199349927988,47.5422195677963
"2016-03-04",43.9199066583621,39.7207049472151,48.233992010436
"2016-03-05",44.3801203142363,39.9833259508424,48.8410788246089
"2016-03-06",44.8229357579732,40.2204810814285,49.511699862779
"2016-03-07",45.2666585077606,40.4867425296504,50.0175675050694
"2016-03-08",45.726639467375,40.7833295485586,50.6883355965753
"2016-03-09",46.1905053100691,41.0348531335813,51.3368216220688
"2016-03-10",46.6778727007585,41.3667944562019,52.1063206357915
"2016-03-11",47.1650410121009,41.6309366265027,52.7580155140111
"2016-03-12",47.6678200439776,41.9803210081115,53.4809363158088
"2016-03-13",48.1646787983691,42.3468113904205,54.1104642594042
"2016-03-14",48.665226037021,42.5096910643548,54.8182664561196
"2016-03-15",49.1795384137399,42.8208921604262,55.5739704933143
"2016-03-16",49.7375768025615,43.281812950752,56.4209065027821
"2016-03-17",50.3060267478627,43.6691743014094,57.2141448048623
