"","mean","lower","upper"
"2018-08-26",51.8966219878181,51.5459109444178,52.2461515190498
"2018-08-27",51.8525503943445,51.35076523714,52.3474461767658
"2018-08-28",51.8068174578083,51.1817125336492,52.417349339239
"2018-08-29",51.762544328307,51.0339868657931,52.4770956395637
"2018-08-30",51.7159767621597,50.9023129914,52.4940573196138
"2018-08-31",51.6729437350537,50.7817237838298,52.5207873074376
"2018-09-01",51.6297997256897,50.6572242439967,52.5868347902225
"2018-09-02",51.5867941650479,50.5445831314865,52.6131575608122
"2018-09-03",51.5370444440055,50.4531797747668,52.6247097176844
"2018-09-04",51.4784242255631,50.3183625037601,52.6347151673977
"2018-09-05",51.4116909452621,50.2007887894046,52.6209895272591
"2018-09-06",51.3323073781868,50.0818952408866,52.6090040044221
"2018-09-07",51.249713705651,49.9546519175444,52.5740128671911
"2018-09-08",51.1560742739892,49.7874984672605,52.5155717012271
"2018-09-09",51.0529241424103,49.6386647795739,52.4662845411037
"2018-09-10",50.9585458998366,49.4980110648432,52.4311261880255
"2018-09-11",50.8842227667097,49.352228541021,52.417275368232
"2018-09-12",50.8193524944419,49.2391419577801,52.4005237701793
"2018-09-13",50.7533785194788,49.1521916236148,52.3883125416825
"2018-09-14",50.6896772892528,49.0324132597362,52.3850126634341
"2018-09-15",50.6310758120324,48.9343704402068,52.3423219403682
"2018-09-16",50.5747690971881,48.851246336856,52.3424523205108
"2018-09-17",50.5137976412508,48.7306972613685,52.3236731078377
"2018-09-18",50.4605312539751,48.6505238646809,52.3102737115664
"2018-09-19",50.4070256706869,48.5396045146894,52.3147807294413
"2018-09-20",50.3541174860467,48.4429059271504,52.3091505616866
"2018-09-21",50.3057701754987,48.3568177310457,52.3244055102866
"2018-09-22",50.2577052975633,48.280734848876,52.312477980359
"2018-09-23",50.2082620354766,48.1913988276524,52.2776104837471
