"","mean","lower","upper"
"2017-06-28",74.511801185538,73.7185797096816,75.2978534250199
"2017-06-29",74.3295457677469,73.2119239439402,75.4408606968409
"2017-06-30",74.1426880217479,72.7888136063577,75.5174639864365
"2017-07-01",73.960979432577,72.3679479139983,75.5687879548823
"2017-07-02",73.7690636037131,72.0177408461454,75.6175700828907
"2017-07-03",73.5821990978562,71.7278187690537,75.566658153298
"2017-07-04",73.4039713400683,71.3956873979976,75.510866181388
"2017-07-05",73.2152367840247,71.0724796376482,75.440857919292
"2017-07-06",73.0041401014921,70.7040431692919,75.3443557817978
"2017-07-07",72.7502124282991,70.3225933487853,75.2486960802377
"2017-07-08",72.4818626476512,69.9871041635765,75.1155307534801
"2017-07-09",72.2042748518963,69.584431641022,74.9452377695342
"2017-07-10",71.9241069469385,69.2115751360403,74.8430866359765
"2017-07-11",71.646708646332,68.8332509471839,74.6610010587937
"2017-07-12",71.368202026799,68.5012981443845,74.482814516243
"2017-07-13",71.0733592221179,68.055824699342,74.3380915720188
"2017-07-14",70.7690751480359,67.6600041937745,74.0984923126734
"2017-07-15",70.4437897026864,67.2369598070455,73.9092556742997
"2017-07-16",70.1088389408077,66.8273435280865,73.6478884882233
"2017-07-17",69.7785113460678,66.3863554767026,73.4490348148337
"2017-07-18",69.4450362710218,65.9448674735518,73.1785333094546
"2017-07-19",69.1172682060143,65.5628310397552,72.9842159995673
"2017-07-20",68.7813542950026,65.1339990436426,72.6936508116397
"2017-07-21",68.4491351368651,64.7700869986718,72.4350626766736
"2017-07-22",68.1098082194795,64.3598454168713,72.1571673995952
"2017-07-23",67.7693129019448,63.9224317971566,71.9637895649106
"2017-07-24",67.4339417057944,63.541288298683,71.6216815318831
"2017-07-25",67.1316794435205,63.1828706554107,71.4240110661715
"2017-07-26",66.8720581370962,62.8269944607471,71.2295331440728
