"","mean","lower","upper"
"2019-08-17",62.9632263790407,62.5096664632969,63.4253312645999
"2019-08-18",62.8324580590244,62.1993149488243,63.4868363951808
"2019-08-19",62.6917160987411,61.921746859385,63.4996746384588
"2019-08-20",62.5489248133809,61.6819995366754,63.4763752009646
"2019-08-21",62.4057682474623,61.4364505928571,63.4569099130696
"2019-08-22",62.2622951129388,61.1830118742785,63.414903251709
"2019-08-23",62.1172532148583,60.9662744690934,63.3552229423145
"2019-08-24",61.9703755164593,60.7420533693197,63.2925743186806
"2019-08-25",61.8299559805928,60.5521570592676,63.2578579415433
"2019-08-26",61.6903431387048,60.3357233585454,63.2390629189306
"2019-08-27",61.5497223387408,60.1610501294706,63.1403608487211
"2019-08-28",61.4053689281668,59.9465999997165,63.0887880059651
"2019-08-29",61.2570735169361,59.7442066547896,63.0037966831261
"2019-08-30",61.1152052873839,59.5235646944283,62.9511975556103
"2019-08-31",60.9628832940372,59.3399620682094,62.8355566174618
"2019-09-01",60.8040928817714,59.1258538408916,62.8223126422951
"2019-09-02",60.6420192355549,58.8991584890259,62.6856321679452
"2019-09-03",60.4776866727529,58.693955771707,62.5636027006632
"2019-09-04",60.3050099720089,58.471189834414,62.4525243338514
"2019-09-05",60.1239988518138,58.2104181964119,62.3377944499384
"2019-09-06",59.9378321610873,57.9874197068647,62.2197948403963
"2019-09-07",59.7597871180985,57.7602059658804,62.121257775748
"2019-09-08",59.582792441377,57.527689514305,61.9811973036812
"2019-09-09",59.4091613464889,57.2990251019762,61.8684119955151
"2019-09-10",59.2357659264953,57.0840583162005,61.7453467491401
"2019-09-11",59.0623359484056,56.8461263531492,61.6023154052247
"2019-09-12",58.8881293476265,56.6292497901976,61.4741890709264
"2019-09-13",58.7118009162649,56.4226600342487,61.3562769554427
"2019-09-14",58.5364941535262,56.1997627869006,61.2374148529772
