"","mean","lower","upper"
"2016-05-10",50.2720813009227,49.4951837525567,51.0539213931531
"2016-05-11",50.2129867616841,49.1401265112824,51.3315489786238
"2016-05-12",50.2469080228342,48.9403827196406,51.624184111063
"2016-05-13",50.3545959621344,48.8635722882516,51.961138545961
"2016-05-14",50.4529157018238,48.7675082584151,52.2513517272143
"2016-05-15",50.5529890764802,48.6775771155807,52.57337936194
"2016-05-16",50.6554739792687,48.6307294551472,52.8573794703006
"2016-05-17",50.7787354848031,48.5942617330518,53.1133645083187
"2016-05-18",50.9268220822628,48.5994943130093,53.434043662989
"2016-05-19",51.1062793744101,48.6265413449992,53.7882476667075
"2016-05-20",51.3072293031329,48.725102542543,54.1177530054734
"2016-05-21",51.5156579538204,48.8239863379735,54.4677244193609
"2016-05-22",51.742452175011,48.946243703631,54.8453764591077
"2016-05-23",51.9567521752905,49.0401604657624,55.1929600128519
"2016-05-24",52.1712081028849,49.1309065750181,55.5649366876378
"2016-05-25",52.395068944972,49.233833575134,55.9522645369697
"2016-05-26",52.6152950261548,49.3282908885596,56.3331534642708
"2016-05-27",52.8348607202137,49.4028203071756,56.6915466954521
"2016-05-28",53.055494458434,49.4437877924252,57.0755823180084
"2016-05-29",53.270311029307,49.5650874659615,57.4026997095499
"2016-05-30",53.4894506733224,49.7434501287864,57.7192307209911
"2016-05-31",53.7123116455259,49.8259812149084,58.0318527289483
"2016-06-01",53.9341369683879,49.9147589649063,58.3841011606443
"2016-06-02",54.1565543448695,50.0158975793977,58.7007232649172
"2016-06-03",54.3772997057992,50.2035915558852,59.0652482309797
"2016-06-04",54.6052892478485,50.3032722271082,59.4952307585515
"2016-06-05",54.8312589031523,50.4511526087617,59.9010197679489
"2016-06-06",55.0685992844337,50.6337729124361,60.3161503341494
"2016-06-07",55.2981796249714,50.7395125147789,60.6477958995295
