"data","represa","nivel","vabs","vrel","vmax","afluente","descarregada","tunel"
"2015-01-29","J",748.74,2.89,3.9,74.09,11.24,0.05,8.00
"2015-01-29","T",742.16,19.76,23.2,85.20,14.53,0.10,-1
"2015-01-30","PN",753.85,27.28,8.3,329.37,5.78,5.02,-1
"2015-01-30","P",761.33,9.18,25.0,36.73,0.48,1.05,8.68
"2015-01-30","B",749.55,1.69,3.5,48.42,0.65,0.12,9.58
"2015-01-30","J",748.76,3.07,4.1,74.09,10.18,0.05,8.00
"2015-01-30","T",742.17,19.86,23.3,85.20,11.80,0.10,-1
"2015-01-31","PN",753.90,27.78,8.4,329.37,14.92,5.02,-1
"2015-01-31","P",761.32,9.16,24.9,36.73,0.77,1.05,8.70
"2015-01-31","B",749.55,1.69,3.5,48.42,1.05,0.12,9.63
"2015-01-31","J",748.78,3.26,4.4,74.09,10.75,0.05,8.56
"2015-01-31","T",742.17,19.86,23.3,85.20,10.72,0.10,-1
"2015-02-01","PN",754.04,29.18,8.9,329.37,28.47,8.16,-1
"2015-02-01","P",761.31,9.13,24.9,36.73,0.77,1.05,8.00
"2015-02-01","B",749.53,1.63,3.4,48.42,0.28,0.12,8.90
"2015-02-01","J",748.79,3.35,4.5,74.09,9.12,0.05,8.00
"2015-02-01","T",742.17,19.86,23.3,85.20,10.72,0.10,-1
"2015-02-02","PN",754.04,29.18,8.9,329.37,12.18,8.08,-1
"2015-02-02","P",761.31,9.13,24.9,36.73,1.05,1.05,7.99
"2015-02-02","B",749.53,1.63,3.4,48.42,0.92,0.12,8.90
"2015-02-02","J",748.80,3.44,4.6,74.09,9.12,0.05,8.00
"2015-02-02","T",742.17,19.86,23.3,85.20,9.51,0.10,-1
"2015-02-03","PN",754.05,29.28,8.9,329.37,13.35,8.08,-1
"2015-02-03","P",761.33,9.18,25.0,36.73,1.62,1.05,8.10
"2015-02-03","B",749.57,1.75,3.6,48.42,2.51,0.12,9.00
"2015-02-03","J",748.82,3.63,4.9,74.09,9.20,0.05,7.00
"2015-02-03","T",742.14,19.58,23.0,85.20,7.49,0.10,-1
"2015-02-04","PN",754.03,29.03,8.8,329.37,9.26,8.08,-1
"2015-02-04","P",761.35,9.22,25.1,36.73,1.47,1.05,8.80
"2015-02-04","B",749.56,1.72,3.6,48.42,0.67,0.12,9.72
"2015-02-04","J",748.84,3.86,5.2,74.09,9.89,0.05,7.20
"2015-02-04","T",742.11,19.30,22.6,85.20,8.07,0.10,-1
"2015-02-05","PN",754.02,28.98,8.8,329.37,8.81,9.12,-1
"2015-02-05","P",761.40,9.35,25.5,36.73,2.93,1.37,9.38
"2015-02-05","B",749.55,1.69,3.5,48.42,0.40,0.12,10.03
"2015-02-05","J",748.87,4.10,5.5,74.09,10.41,0.05,7.60
"2015-02-05","T",742.08,19.02,22.3,85.20,8.18,0.10,-1
"2015-02-06","PN",754.01,28.88,8.8,329.37,9.52,8.08,-1
"2015-02-06","P",761.48,9.55,26.0,36.73,3.69,1.40,9.61
"2015-02-06","B",749.64,1.98,4.1,48.42,4.14,0.12,10.26
"2015-02-06","J",749.02,5.51,7.4,74.09,23.43,0.05,7.00
"2015-02-06","T",742.22,20.33,23.9,85.20,24.66,0.10,-1
"2015-02-07","PN",753.99,28.68,8.7,329.37,8.95,8.08,-1
"2015-02-07","P",761.50,9.60,26.1,36.73,2.03,1.45,10.07
"2015-02-07","B",749.77,2.41,5.0,48.42,5.83,0.12,10.82
"2015-02-07","J",749.21,7.34,9.9,74.09,26.21,0.05,5.00
"2015-02-07","T",742.32,21.27,25.0,85.20,21.05,0.10,-1
"2015-02-08","PN",753.98,28.58,8.7,329.37,7.50,5.87,-1
"2015-02-08","P",761.51,9.62,26.2,36.73,1.74,1.45,9.50
"2015-02-08","B",749.86,2.71,5.6,48.42,4.51,0.12,10.40
"2015-02-08","J",749.30,8.22,11.1,74.09,15.24,0.05,5.00
"2015-02-08","T",742.38,21.85,25.6,85.20,16.96,0.10,-1
"2015-02-09","PN",753.97,28.48,8.6,329.37,8.89,5.87,-1
"2015-02-09","P",761.52,9.65,26.3,36.73,1.63,1.34,9.03
"2015-02-09","B",749.90,2.85,5.9,48.42,2.69,0.12,10.03
"2015-02-09","J",749.36,8.81,11.9,74.09,11.90,0.05,5.00
"2015-02-09","T",742.42,22.24,26.1,85.20,15.26,0.10,-1
"2015-02-10","PN",753.95,28.28,8.6,329.37,4.45,5.87,-1
"2015-02-10","P",761.53,9.67,26.3,36.73,1.63,1.34,9.03
"2015-02-10","B",749.92,2.91,6.0,48.42,1.88,0.12,10.00
"2015-02-10","J",749.44,9.61,13.0,74.09,12.78,0.05,3.53
"2015-02-10","T",742.42,22.24,26.1,85.20,10.38,0.10,-1
"2015-02-11","PN",753.91,27.88,8.5,329.37,4.57,5.87,-1
"2015-02-11","P",761.54,9.70,26.4,36.73,1.63,1.34,9.03
"2015-02-11","B",749.96,3.05,6.3,48.42,2.70,0.12,10.03
"2015-02-11","J",749.57,10.91,14.7,74.09,18.71,0.05,3.53
"2015-02-11","T",742.47,22.73,26.7,85.20,16.02,0.10,-1
"2015-02-12","PN",753.89,27.68,8.4,329.37,2.34,4.64,-1
"2015-02-12","P",761.52,9.65,26.3,36.73,0.76,1.34,9.03
"2015-02-12","B",749.98,3.12,6.4,48.42,1.96,0.12,10.07
"2015-02-12","J",749.67,11.93,16.1,74.09,15.36,0.05,3.53
"2015-02-12","T",742.54,23.41,27.5,85.20,18.51,0.10,-1
"2015-02-13","PN",753.87,27.48,8.3,329.37,3.62,4.64,-1
"2015-02-13","P",761.52,9.65,26.3,36.73,1.34,1.34,8.91
"2015-02-13","B",750.01,3.22,6.7,48.42,2.37,0.12,9.96
"2015-02-13","J",749.74,12.65,17.1,74.09,12.53,0.05,4.16
"2015-02-13","T",742.54,23.41,27.5,85.20,10.82,0.10,-1
"2015-02-14","PN",753.90,27.78,8.4,329.37,9.61,4.64,-1
"2015-02-14","P",761.53,9.67,26.3,36.73,1.63,1.34,9.50
"2015-02-14","B",750.07,3.43,7.1,48.42,3.63,0.12,10.60
"2015-02-14","J",749.89,14.21,19.2,74.09,22.26,0.05,4.16
"2015-02-14","T",742.56,23.61,27.7,85.20,13.96,0.10,-1
"2015-02-15","PN",753.90,27.78,8.4,329.37,4.64,4.64,-1
"2015-02-15","P",761.52,9.65,26.3,36.73,1.05,1.34,6.13
"2015-02-15","B",750.13,3.64,7.5,48.42,4.46,0.12,8.03
"2015-02-15","J",750.01,15.47,20.9,74.09,18.86,0.05,4.16
"2015-02-15","T",742.63,24.31,28.5,85.20,20.93,0.10,-1
"2015-02-16","PN",753.93,28.08,8.5,329.37,6.16,2.71,-1
"2015-02-16","P",761.55,9.72,26.5,36.73,2.21,1.34,8.68
"2015-02-16","B",750.19,3.85,8.0,48.42,3.98,0.12,10.08
"2015-02-16","J",750.13,16.76,22.6,74.09,19.04,0.05,4.16
"2015-02-16","T",742.73,25.32,29.7,85.20,23.16,0.10,-1
"2015-02-17","PN",753.97,28.48,8.6,329.37,9.87,1.29,-1
"2015-02-17","P",761.63,9.93,27.0,36.73,3.35,1.01,9.03
"2015-02-17","B",750.27,4.14,8.6,48.42,4.64,0.12,10.23
"2015-02-17","J",750.24,17.94,24.2,74.09,18.32,0.05,4.52
"2015-02-17","T",742.86,26.65,31.3,85.20,26.21,0.10,-1
"2015-02-18","PN",754.07,29.48,9.0,329.37,18.06,1.29,-1
"2015-02-18","P",761.77,10.28,28.0,36.73,5.15,1.01,8.50
"2015-02-18","B",750.44,4.76,9.8,48.42,8.80,0.12,10.00
"2015-02-18","J",750.51,20.92,28.2,74.09,38.98,0.05,4.52
"2015-02-18","T",743.00,28.11,33.0,85.20,28.09,0.10,-1
"2015-02-19","PN",754.14,30.19,9.2,329.37,8.95,0.70,-1
"2015-02-19","P",761.91,10.65,29.0,36.73,4.53,0.32,8.80
"2015-02-19","B",750.61,5.40,11.2,48.42,8.69,0.12,10.00
"2015-02-19","J",750.67,22.72,30.7,74.09,24.79,0.05,3.91
"2015-02-19","T",743.17,29.92,35.1,85.20,32.30,0.10,-1
"2015-02-20","PN",754.18,30.60,9.3,329.37,11.48,2.46,-1
"2015-02-20","P",762.02,10.94,29.8,36.73,3.68,0.32,9.03
"2015-02-20","B",750.74,5.90,12.2,48.42,7.09,0.12,10.23
"2015-02-20","J",750.76,23.74,32.0,74.09,15.82,0.05,3.91
"2015-02-20","T",743.24,30.68,36.0,85.20,19.81,0.10,-1
"2015-02-21","PN",754.19,30.71,9.3,329.37,6.67,2.62,-1
"2015-02-21","P",762.11,11.18,30.4,36.73,3.10,0.32,9.03
"2015-02-21","B",750.79,6.09,12.6,48.42,3.41,0.12,10.07
"2015-02-21","J",750.84,24.66,33.3,74.09,14.51,0.05,3.83
"2015-02-21","T",743.26,30.90,36.3,85.20,13.86,0.10,-1
"2015-02-22","PN",754.20,30.81,9.4,329.37,6.05,2.62,-1
"2015-02-22","P",762.18,11.37,31.0,36.73,2.41,0.23,9.38
"2015-02-22","B",750.82,6.21,12.8,48.42,2.45,0.12,10.35
"2015-02-22","J",750.90,25.35,34.2,74.09,11.90,0.05,3.83
"2015-02-22","T",743.26,30.90,36.3,85.20,11.34,0.10,-1
"2015-02-23","PN",754.20,30.81,9.4,329.37,4.29,2.62,-1
"2015-02-23","P",762.22,11.48,31.2,36.73,1.49,0.23,9.03
"2015-02-23","B",750.82,6.21,12.8,48.42,1.12,0.12,10.03
"2015-02-23","J",750.96,26.05,35.2,74.09,12.07,0.05,3.95
"2015-02-23","T",743.23,30.57,35.9,85.20,9.34,0.10,-1
"2015-02-24","PN",754.18,30.60,9.3,329.37,3.29,4.82,-1
"2015-02-24","P",762.21,11.45,31.2,36.73,1.26,1.57,5.80
"2015-02-24","B",750.83,6.25,12.9,48.42,2.47,0.12,7.70
