data,pluviometria
2016-11-26,8
2016-11-27,2
2016-11-28,3
2016-11-29,26
2016-11-30,19
2016-12-01,0
2016-12-02,10
2016-12-03,15
2016-12-04,10
2016-12-05,3
2016-12-06,4
2016-12-07,7
2016-12-08,14
2016-12-09,11
2016-12-10,7
2016-12-11,0
2016-12-12,0
2016-12-13,5
2016-12-14,10
2016-12-15,17
2016-12-16,14
2016-12-17,16
2016-12-18,8
2016-12-19,0
2016-12-20,7
2016-12-21,12
2016-12-22,34
2016-12-23,5
2016-12-24,14
2016-12-25,20
