"";"a0";"a1";"a3";"V.0";"dp";"sigma"
"2015-06-26 09:24:40";8,75399463472001;0,848445591044363;0,59;71653150;32000000,0000001;0,00699190990686778
"2015-06-27 09:04:25";9,16863784474021;0,823971307675525;0,59;71653150;32000000,0000001;0,00585463498091978
"2015-06-28 09:04:21";9,06853829133222;0,831739064663342;0,59;71653150;32000000,0000001;0,00428134496101716
"2015-06-29 11:24:23";9,11287416754215;0,826372149146896;0,59;70671600;32000000,0000001;0,00624186946585106
"2015-06-30 11:44:20";9,16445036897382;0,819661918882296;0,59;70671600;32000000,0000001;0,00651327462162781
"2015-07-01 12:04:23";9,03880492457551;0,832800089750073;0,59;69690050,0000001;32000000,0000001;0,00659642805149865
"2015-07-02 10:24:39";9,67975138107083;0,802159025445451;0,59;69690050,0000001;32000000,0000001;0,00687490717726919
"2015-07-03 13:04:27";8,85454828346871;0,841943818203575;0,59;69690050,0000001;32000000,0000001;0,00652221812692976
"2015-07-03 13:24:19";9,7117861607648;0,797103661591867;0,59;69690050,0000001;32000000,0000001;0,00719117724393585
"2015-07-03 13:44:23";8,50505179372282;0,859691902441772;0,59;69690050,0000001;32000000,0000001;0,00386274031219458
"2015-07-04 10:04:20";9,49636339893036;0,805809677282923;0,59;68708500,0000001;32000000,0000001;0,00525128104563958
"2015-07-05 10:44:20";8,9882147264819;0,833809726769697;0,59;67726950;32000000,0000001;0,00429069412882739
"2015-07-06 12:04:19";9,73989249041424;0,798187228531867;0,59;66745400,0000001;32000000,0000001;0,00675406803645804
"2015-07-07 10:44:26";10,5790730556932;0,7540755612675;0,59;66745400,0000001;32000000,0000001;0,0101483622202754
"2015-07-08 11:04:19";9,30169049989265;0,822404666398133;0,59;65763850,0000001;32000000,0000001;0,00637330332293633
"2015-07-09 09:24:31";9,1071710691619;0,830170919466966;0,59;64782300;32000000,0000001;0,00507100134677209
"2015-07-10 09:04:22";9,71029220441139;0,799900399113241;0,59;64782300;32000000,0000001;0,00448038109183116
