"data","sistema","vabs","vrel","vmax","afluente","descarregada","MLT","aflu_MLT","aflu_max","vazao_anterior","vazao_mediames","retirada"
"2015-04-10","Cantareira",194.83,19.8,982.07,24.88,0.47,47.90,51.9,108.50,13.49,13.64,13.96
"2015-04-10","AltoTiete",127.45,22.2,573.81,10.43,7.80,20.45,51.0,48.39,12.62,12.08,14.24
"2015-04-10","Guarapiranga",143.98,84.1,171.19,15.21,0.00,13.64,111.5,30.81,15.21,15.08,15.21
"2015-04-10","Cotia",10.72,65.0,16.50,0.47,0.06,1.57,29.8,2.56,0.75,0.75,0.80
"2015-04-10","RioGrande",108.78,97.0,112.18,5.13,0.00,5.46,94.0,12.17,5.13,5.06,5.13
"2015-04-10","RioClaro",6.20,45.4,13.67,3.90,1.59,5.00,77.9,2.38,3.95,3.91,3.95
"2015-04-11","Cantareira",195.12,19.9,982.07,17.86,0.47,47.90,37.3,108.50,13.87,13.67,14.34
"2015-04-11","AltoTiete",127.20,22.2,573.81,11.17,7.36,20.45,54.6,48.39,12.29,12.10,14.12
"2015-04-11","Guarapiranga",143.72,84.0,171.19,12.13,0.00,13.64,88.9,30.81,15.16,15.08,15.16
"2015-04-11","Cotia",10.72,65.0,16.50,0.83,0.06,1.57,52.7,2.56,0.77,0.76,0.83
"2015-04-11","RioGrande",108.78,97.0,112.18,5.15,0.00,5.46,94.3,12.17,5.15,5.07,5.15
